country,year,sex,measure,category,method,unit,value
Hungary,2018,Female,Life expectancy,Total,,Years,79.4
Hungary,2017,Female,Life expectancy,Total,,Years,79.1
Hungary,2016,Female,Life expectancy,Total,,Years,79.4
Hungary,2015,Female,Life expectancy,Total,,Years,78.8
Hungary,2021,Male,Life expectancy,Total,,Years,70.7
Hungary,2020,Male,Life expectancy,Total,,Years,72.2
Hungary,2019,Male,Life expectancy,Total,,Years,72.9
Hungary,2018,Male,Life expectancy,Total,,Years,72.6
Hungary,2017,Male,Life expectancy,Total,,Years,72.4
Hungary,2016,Male,Life expectancy,Total,,Years,72.5
Hungary,2015,Male,Life expectancy,Total,,Years,72.2
Hungary,2024,Female,Life expectancy,Total,,Years,79.9
Hungary,2023,Female,Life expectancy,Total,,Years,79.8
Hungary,2022,Female,Life expectancy,Total,,Years,79.2
Hungary,2021,Female,Life expectancy,Total,,Years,77.6
Hungary,2020,Female,Life expectancy,Total,,Years,78.8
Hungary,2024,Total,Life expectancy,Total,,Years,76.8
Hungary,2023,Total,Life expectancy,Total,,Years,76.7
Hungary,2022,Total,Life expectancy,Total,,Years,75.9
Hungary,2021,Total,Life expectancy,Total,,Years,74.1
Hungary,2020,Total,Life expectancy,Total,,Years,75.5
Hungary,2019,Total,Life expectancy,Total,,Years,76.3
Hungary,2018,Total,Life expectancy,Total,,Years,76
Hungary,2017,Total,Life expectancy,Total,,Years,75.9
Hungary,2016,Total,Life expectancy,Total,,Years,76.1
Hungary,2015,Total,Life expectancy,Total,,Years,75.6
Iceland,2023,Male,Life expectancy,Total,,Years,80.7
Iceland,2022,Male,Life expectancy,Total,,Years,80.9
Iceland,2019,Female,Life expectancy,Total,,Years,84.6
Iceland,2018,Female,Life expectancy,Total,,Years,84.2
Iceland,2017,Female,Life expectancy,Total,,Years,84.1
Iceland,2016,Female,Life expectancy,Total,,Years,83.9
Iceland,2015,Female,Life expectancy,Total,,Years,83.6
Iceland,2021,Male,Life expectancy,Total,,Years,81.6
Iceland,2020,Male,Life expectancy,Total,,Years,81.4
Iceland,2019,Male,Life expectancy,Total,,Years,81.5
Iceland,2018,Male,Life expectancy,Total,,Years,81.1
Iceland,2017,Male,Life expectancy,Total,,Years,80.8
Iceland,2016,Male,Life expectancy,Total,,Years,80.3
Iceland,2015,Male,Life expectancy,Total,,Years,81.1
Iceland,2024,Female,Life expectancy,Total,,Years,84.5
Iceland,2023,Female,Life expectancy,Total,,Years,84.1
Iceland,2022,Female,Life expectancy,Total,,Years,83.5
Iceland,2021,Female,Life expectancy,Total,,Years,84.5
Iceland,2020,Female,Life expectancy,Total,,Years,84.4
Iceland,2024,Total,Life expectancy,Total,,Years,82.8
Iceland,2023,Total,Life expectancy,Total,,Years,82.4
Iceland,2022,Total,Life expectancy,Total,,Years,82.2
Iceland,2021,Total,Life expectancy,Total,,Years,83
Iceland,2020,Total,Life expectancy,Total,,Years,82.9
Iceland,2019,Total,Life expectancy,Total,,Years,83
Iceland,2018,Total,Life expectancy,Total,,Years,82.7
Iceland,2017,Total,Life expectancy,Total,,Years,82.4
Iceland,2016,Total,Life expectancy,Total,,Years,82.1
Iceland,2015,Total,Life expectancy,Total,,Years,82.4
Ireland,2023,Male,Life expectancy,Total,,Years,81
Ireland,2022,Male,Life expectancy,Total,,Years,80.7
Ireland,2019,Female,Life expectancy,Total,,Years,84.4
Ireland,2018,Female,Life expectancy,Total,,Years,83.9
Ireland,2017,Female,Life expectancy,Total,,Years,83.8
Ireland,2016,Female,Life expectancy,Total,,Years,83.4
Ireland,2015,Female,Life expectancy,Total,,Years,83.3
Ireland,2021,Male,Life expectancy,Total,,Years,80.3
Ireland,2020,Male,Life expectancy,Total,,Years,80.5
Ireland,2019,Male,Life expectancy,Total,,Years,80.6
Ireland,2018,Male,Life expectancy,Total,,Years,80.2
Ireland,2017,Male,Life expectancy,Total,,Years,80.2
Ireland,2016,Male,Life expectancy,Total,,Years,79.7
Ireland,2015,Male,Life expectancy,Total,,Years,79.5
Ireland,2024,Female,Life expectancy,Total,,Years,84.7
Ireland,2023,Female,Life expectancy,Total,,Years,84.5
Ireland,2022,Female,Life expectancy,Total,,Years,84
Ireland,2021,Female,Life expectancy,Total,,Years,84
Ireland,2020,Female,Life expectancy,Total,,Years,84.1
Ireland,2024,Total,Life expectancy,Total,,Years,83.1
Ireland,2023,Total,Life expectancy,Total,,Years,82.7
Ireland,2022,Total,Life expectancy,Total,,Years,82.4
Ireland,2021,Total,Life expectancy,Total,,Years,82.1
